0,Luke Moseley
1,Unknown
2,The European Union Times
3,Carl Hulse
4,Jennifer Steinhauer and Robert Pear
5,Doc Chaos
6,Eddy Lavine
7,Coral Davenport and Eric Lipton
8,Chris Black
9,Daisy Luther
10,John Hayward
11,Redacción
12,The Free Thought Project
13,Breitbart TV
14,Anna Jean Kaiser
15,Somini Sengupta
16,Alexander Burns and Mitch Smith
17,Ian Hanchett
18,Eric Lipton and Jesse Drucker
19,Dr. Patrick Slattery
20,Danny F. Quest
21,"Robert Pear, Thomas Kaplan and Maggie Haberman"
22,Jerome Hudson
23,Valeriya Safronova
24,Lee Adler
25,Jonah Engel Bromwich
26,Phlox
27,David Stockman
28,Harry Hibbs
29,Pam Key
30,Chris Buckley and Keith Bradsher
31,Dave Hodges
32,Author
33,Nick Kollerstrom
34,Leslie Picker and Cecilia Kang
35,Jason Easley
36,Michelle Moons
37,Remy Tumin and Sandra Stevenson
38,Yves Smith
39,Josh Katz
40,admin
41,Rmuse
42,Heather Callaghan
43,Tatiana Schlossberg
44,Matthew Schneier
45,Jameson Parker
46,Gillian
47,Trent Baker
48,Linh Dinh
49,Breitbart London
50,Ben Kew
51,Omar Al-Jawoshy
52,Neil Munro
53,newsguy76
54,Breitbart Jerusalem
55,Jon Pareles
56,Derrick Broze
57,Dan Riehl
58,Kathryn Shattuck
59,Political Ears Editorial Staff
60,Rebecca Mansour
61,Christopher Mele
62,Zoe2010
63,Brandy Mocanu
64,Breitbart Tech
65,Lorne Manly
66,Poke Staff
67,Contributing Author
68,Rachel Donadio
69,Admin - Orissa
70,Daniel Redmond
71,Dml Daily
72,James Kanter
73,sanitizedinfo
74,Maggie Haberman and Ashley Parker
75,"Llewellyn H. Rockwell, Jr."
76,Tony Lee
77,Mekado Murphy
78,John Carney
79,Staff
80,Graham Bowley
81,David G. Brown
82,Lana Shadwick
83,Andrew Anglin
84,thefitgirl
85,Robert J. Marlow
86,beforeitsnews.com
87,Andrea Kannapell and Sandra Stevenson
88,Simon Kent
89,Kit O'Connell
90,Harry Abrams
91,Alex Newman
92,Margot Sanger-Katz
93,Corbett
94,Shmuley Boteach
95,Jeremy B. Merrill
96,Tyler Durden
97,Vandita
98,Deirdre Fulton | Common Dreams
99,Paul Craig Roberts
100,Breitbart News
101,Henry Wolff
102,Jack Montgomery
103,Julie Hirschfeld Davis
104,IWB
105,Tom Engelhardt
106,Colin Taylor
107,Matthew Rosenberg and Charlie Savage
108,Starkman
109,Ian Urbina
110,Pakalert
111,Kaitlyn Stegall
112,Conor Swanberg
113,Chad Bray
114,malterwitty
115,Binyamin Appelbaum and Robert Pear
116,Aaron Klein
117,John Otis
118,Michael D. Shear and Julie Hirschfeld Davis
119,"Alan Blinder, Niraj Chokshi and Richard Pérez-Peña"
120,Charlie Spiering
121,J.E. Dyer
122,Julie Turkewitz and Caitlin Dickerson
123,Charles McDermid
124,Michael S. Schmidt
125,Letsbereal
126,Alan Rappeport
127,Grant Stern
128,Anonymous Coward (UID 72417024)
129,Rowan Wolf
130,Daily Bell Staff
131,Sean Adl-Tabatabai
132,Natalie Angier
133,Jon Caramanica
134,Contributed Daily News Bin Staff
135,Tejal Rao
136,Jeremiah Johnson
137,Liz Alderman
138,Julius Hubris
139,Eric Lipton and Maggie Haberman
140,NewsBiscuit
141,Alan Blinder
142,Charles Duhigg
143,Anna Dubenko and Michelle L. Dozois
144,Frances Martel
145,Niraj Chokshi
146,Kristina Wong
147,Dikran Arakelian (noreply@blogger.com)
148,Penelope Green
149,Isabel Kershner
150,Jeff Poor
151,Alan Feuer
152,James DeVinne
153,Kevin Carey
154,Christopher Mele and Annie Correal
155,Alex Ansary
156,Mac Slavo
157,The Doc
158,OZbanislam
159,"Thomas D. Williams, Ph.D."
160,Sarah Varney
161,Mike McPhate
162,Colm Williamson
163,South Front
164,"Kim Barker, Pir Zubair Shah, Joseph Goldstein and Jessica Silver-Greenberg"
165,Winnie Hu
166,Sheri Fink and Helene Cooper
167,Alex Swoyer
168,RT
169,Chriss W. Street
170,Joel B. Pollak
171,Vivian Marino
172,Pamalinsky
173,noreply@blogger.com (Der Postillon)
174,Katherine Rodriguez
175,Michael Patrick Leahy
